t_values,RL_experimental,AcRL_experimental,RB_experimental,AcRB_experimental,RC_experimental,AcRC_experimental
0,0,0,0,0,0,0
1,0.002362631,0.002362631,9.84E-05,9.84E-05,6.29E-07,6.29E-07
2,0.00098852,0.003351151,5.70E-05,0.000155375,0.000181996,0.000182625
3,0.000470775,0.003821926,3.79E-05,0.000193324,5.99E-05,0.000242557
4,0.000325787,0.004147712,3.56E-05,0.000228895,0.000311911,0.000554468
5,0.000162718,0.00431043,2.39E-05,0.000252807,0.00057905,0.001133517
6,5.88E-05,0.004369245,1.19E-05,0.00026472,0.00080702,0.001940537
7,2.49E-05,0.004394108,6.97E-06,0.000271689,0.000532472,0.002473009
8,1.29E-05,0.004407008,4.94E-06,0.000276633,0.0004362,0.002909209
9,5.17E-06,0.004412177,2.75E-06,0.00027938,0.000219148,0.003128356
10,2.67E-06,0.004414844,1.95E-06,0.000281328,3.23E-05,0.00316066
11,1.68E-06,0.004416521,1.66E-06,0.000282989,3.78E-05,0.003198503
12,8.60E-07,0.004417381,1.17E-06,0.000284163,0.000160481,0.003358984
13,4.59E-07,0.00441784,8.57E-07,0.00028502,0.00045516,0.003814143
14,1.90E-07,0.004418031,4.88E-07,0.000285508,0.000237508,0.004051651
15,1.00E-07,0.004418131,3.55E-07,0.000285863,0.000127197,0.004178848
16,5.04E-08,0.004418181,2.44E-07,0.000286107,0.000494596,0.004673444
17,2.47E-08,0.004418206,1.63E-07,0.00028627,0.000814753,0.005488197
18,1.05E-08,0.004418217,9.52E-08,0.000286365,0.001154098,0.006642295
19,5.47E-09,0.004418222,6.84E-08,0.000286433,0.001220055,0.007862349
20,2.84E-09,0.004418225,4.86E-08,0.000286482,0.001892727,0.009755076
21,1.24E-09,0.004418226,2.93E-08,0.000286511,0.002448917,0.012203993
22,5.71E-10,0.004418227,1.82E-08,0.000286529,0.002397205,0.014601198
23,4.52483E-10,0.004418227,1.27746E-08,0.000286542,0.002652589,0.017253787
24,1.41E-10,0.004418227,8.57E-09,0.000286551,0.002552443,0.01980623
25,7.07E-11,0.004418228,5.90E-09,0.000286557,0.002605545,0.022411775
26,3.47E-11,0.004418228,3.93E-09,0.000286561,0.002548668,0.024960443
27,1.54E-11,0.004418228,2.41E-09,0.000286563,0.00221349,0.027173933
28,7.95E-12,0.004418228,1.70E-09,0.000286565,0.002017642,0.029191575
29,3.28E-12,0.004418228,9.70E-10,0.000286566,0.001748829,0.030940404
30,1.59E-12,0.004418228,6.44E-10,0.000286566,0.001431843,0.032372247
