"t","QL","QB","QC","QLim","QBim","QCim","QLm","QBm","QCm","QLnetchange","QBnetchange","QCnetchange","RL","RB","RC","Ex","AcRL","AcRB","AcRC","AcEx","Total13C_theoretical"
0,8.00462334897898,2.40519725952336,0,0,0,0,8.00462334897898,2.40519725952336,0,0,0,0,0,0,0,0,0,0,0,0,10.4098206085023
1,2.1412887896324,1.59747580413656,0.00813456479875678,0.00434644964344204,0.00246320023844155,0.00228711096702855,2.13694233998896,1.59501260389812,0.00584745383172823,-5.86333455934658,-0.807721455386794,0.0588574210420696,0.002172291,0.000173949,0.000355549,6.4983495663988,0.002172291,0.000173949,0.000355549,6.4983495663988,10.2479505139665
2,0.819625942892801,1.09156967544634,0.00831550413459691,0.0086494714099461,0.00490148978708728,0.00454399059731736,0.810976471482855,1.08666818565925,0.00377151353727955,-1.3216628467396,-0.505906128690223,0.0976938619193132,0.000703296,0.000150867,0.001555883,2.11437541025357,0.002875587,0.000324816,0.001911432,8.61272497665237,10.5373479341261
3,0.521707981232688,0.774701763445953,0.00934439509792426,0.0129094992123952,0.00731512057124007,0.00677103849269352,0.508798482020293,0.767386642874712,0.00257335660523074,-0.297917961660113,-0.316867912000388,0.12331967279087,0.00016859,9.51015e-05,0.002143734,0.687956738831211,0.003044177,0.000419917,0.004055165,9.30068171548358,10.6139551142601
4,0.454553856337171,0.576235550128015,0.0107875453442653,0.0171269626281993,0.0097043419684468,0.00896864897299397,0.437426893708971,0.566531208159568,0.00181889637127135,-0.0671541248955174,-0.198466213317938,0.140228590497836,2.73349e-05,4.35361e-05,0.002208278,0.223841268777582,0.003071512,0.000463453,0.006263444,9.52452298426116,10.5758983450706
5,0.439416546504111,0.451928744872477,0.0124815004408391,0.0213022869426133,0.0120694008342643,0.0111372111458837,0.418114259561498,0.439859344038213,0.00134428929495535,-0.0151373098330598,-0.124306805255538,0.151385759316962,5.13044e-06,2.33328e-05,0.001599477,0.0728314889292054,0.003076643,0.000486786,0.00786292,9.59735447319037,10.5126076140078
6,0.436004423282513,0.374070747914153,0.0143220598415056,0.0254358931916228,0.0144105415277644,0.0132771089757509,0.410568530090891,0.359660206386388,0.00104495086575474,-0.00341212322159745,-0.0778579969583245,0.158747698041592,1.22651e-06,1.53309e-05,0.001529655,0.023697264622438,0.003077869,0.000502117,0.009392576,9.62105173781281,10.458421530851
7,0.435235291580265,0.325305375190583,0.0162441326985968,0.029528198204401,0.0167280059367814,0.0153887213516912,0.405707093375864,0.308577369253802,0.000855411346905577,-0.000769131702248516,-0.0487653727235696,0.163605394708536,2.18831e-07,7.81572e-06,0.000837415,0.00771040601863504,0.003078088,0.000509933,0.010229991,9.62876214383144,10.4193649553009
8,0.435061920474656,0.294761800095252,0.0182070858904798,0.0335796146453409,0.019022033502904,0.0174724221545942,0.401482305829315,0.275739766592348,0.000734663735885592,-0.000173371105609332,-0.0305435750953313,0.166810693990516,5.13491e-08,5.11497e-06,0.000277289,0.00250874360055597,0.00307814,0.000515048,0.01050728,9.631270887432,10.3934021618924
9,0.435022840639339,0.275631217727053,0.0201856039399294,0.0375905510556684,0.0212928612462144,0.019528580323342,0.397432289583671,0.254338356480839,0.0006570236165874,-3.9079835316036e-05,-0.0191305823681984,0.16892567650002,1.5039e-08,4.04779e-06,0.000518339,0.000816272766714476,0.003078155,0.000519096,0.011025619,9.63208716019871,10.377549692505
10,0.435014031596316,0.263649019159789,0.0221639635915863,0.0415614118946394,0.0235407237897775,0.0215575599201334,0.393452619701677,0.240108295370011,0.000606403671452905,-8.80904302341667e-06,-0.0119821985672648,0.170321225128085,3.4606e-09,2.62906e-06,0.001510386,0.000265591601122495,0.003078158,0.000521725,0.012536004,9.63235275179983,10.3693156531475
11,0.435012045937002,0.256144120472333,0.0241324478016132,0.0454925975803246,0.0257658533838823,0.0235597201949448,0.389519448356677,0.23037826708845,0.000572727606668425,-1.98565931414096e-06,-0.00750489868745607,0.171242062990595,8.52225e-10,1.77666e-06,0.002065471,8.64158421851613e-05,0.003078159,0.000523501,0.014601476,9.63243916764202,10.365930917853
12,0.435011598346622,0.251443521997621,0.0260850997084135,0.0493845045299878,0.0279684799300378,0.0255354156491388,0.385627093816635,0.223475042067583,0.000549684059274759,-4.47590379593077e-07,-0.00470059847471194,0.171849668022751,1.60604e-10,9.34771e-07,0.001355984,2.81172211344938e-05,0.003078159,0.000524436,0.015957459,9.63246728486315,10.3645675589158
13,0.435011497454618,0.248499361531152,0.0280183158834776,0.0532375252000598,0.030148831004727,0.0274849960982316,0.381773972254558,0.218350530526425,0.000533319785246086,-1.00892004362141e-07,-0.00294416046646906,0.172250589716061,3.79097e-11,6.23763e-07,0.000950593,9.14853231037682e-06,0.003078159,0.00052506,0.016908052,9.63247643339546,10.3645168792647
14,0.435011474712403,0.246655323820007,0.0299299652544277,0.0570520481257137,0.0323071318829197,0.0294088067338315,0.37795942658669,0.214348191937087,0.000521158520596183,-2.27422146670264e-08,-0.001844037711145,0.172515133614909,8.83361e-12,3.97522e-07,0.001692791,2.97666839266242e-06,0.003078159,0.000525457,0.018600843,9.63247941006386,10.3662806328507
15,0.435011469586047,0.245500334097519,0.0318188372759027,0.0608284579600445,0.0344436055613487,0.0313071881847585,0.374183011626003,0.211056728536171,0.000511649091144153,-5.12635611737977e-09,-0.0011549897224872,0.172689690082134,2.00268e-12,2.45729e-07,0.00345261,9.68521989719306e-07,0.003078159,0.000525703,0.022053452,9.63248037858585,10.3704683335453
16,0.435011468430508,0.244776920877178,0.0336842963203737,0.0645671355128567,0.0365584727815491,0.0331804765773552,0.370444332917651,0.208218448095629,0.000503819743018457,-1.15553938639934e-09,-0.000723413220341723,0.172804869303362,3.84447e-13,1.32087e-07,0.005147274,3.15129105032952e-07,0.003078159,0.000525835,0.027200726,9.63248069371495,10.376758099343
17,0.435011468170036,0.244323820146343,0.0355260652319169,0.0682684577890654,0.0386519520526663,0.0350290035950018,0.366743010380971,0.205671868093677,0.000497061636915158,-2.60471810786811e-10,-0.00045310073083446,0.172880869082766,8.97313e-14,8.72597e-08,0.003477239,1.02533915580238e-07,0.003078159,0.000525922,0.030677966,9.63248079624887,10.3816241967972
18,0.435011468111323,0.244040026228137,0.0373440897792853,0.0719327980267128,0.0407242596740317,0.0368530965368433,0.36307867008461,0.203315766554106,0.000490993242441947,-5.87133675011842e-11,-0.000283793918205905,0.172931016725786,2.15042e-14,5.76205e-08,0.00423708,3.33615766123785e-08,0.003078159,0.00052598,0.034915045,9.63248082961044,10.3873955977292
19,0.435011468098088,0.24386227549297,0.0391384537789503,0.0755605257346051,0.0427756097575113,0.0386530783757413,0.359450942363483,0.201086665735459,0.000485375403208997,-1.32346911208003e-11,-0.000177750735167209,0.172964106112627,4.21247e-15,3.18006e-08,0.004528328,1.08548938726472e-08,0.003078159,0.000526012,0.039443373,9.63248084046534,10.3935405818353
20,0.435011468095105,0.243750943565731,0.0409093259543611,0.0791520067295739,0.0448062142496278,0.040429267815459,0.355859461365531,0.198944729316103,0.000480058138902101,-2.9831692671678e-12,-0.000111331927238778,0.172985939791251,9.24679e-16,1.84948e-08,0.00421323,3.53187168400382e-09,0.003078159,0.00052603,0.043656603,9.63248084399721,10.3994133736124
21,0.435011468094432,0.243681212219692,0.0426569266725049,0.0827076031733643,0.046816282953459,0.042181979347091,0.352303864921068,0.196864929266233,0.000474947325413902,-6.72462086015457e-13,-6.97313460393534e-05,0.173000346510982,2.02953e-16,1.182e-08,0.003696119,1.14916787197217e-09,0.003078159,0.000526042,0.047352722,9.63248084514638,10.404787375133
22,0.435011468094281,0.243637536872098,0.0443815071300928,0.0862276736091553,0.0488060235503145,0.0439115233047469,0.348783794485125,0.194831513321784,0.000469983825345857,-1.51545442861334e-13,-4.36753475939466e-05,0.173009852631182,4.55289e-17,7.34343e-09,0.003800055,3.73905351125359e-10,0.003078159,0.00052605,0.051152777,9.63248084552028,10.4102683436168
23,0.435011468094247,0.243610181369934,0.0460833363371414,0.089712572997715,0.0507756416211939,0.0456182059204986,0.345298895096532,0.19283453974874,0.000465130416642803,-3.42503803096861e-14,-2.73555021637062e-05,0.173016125143102,1.04418e-17,4.67462e-09,0.003577378,1.21657350860005e-10,0.003078159,0.000526054,0.054730155,9.63248084564194,10.4155201994433
24,0.435011468094239,0.243593047596768,0.0477626929840914,0.0931626527531941,0.0527253406680272,0.0473023293786019,0.341848815341045,0.190867706928741,0.000460363605489548,-7.66053886991358e-15,-1.71337731660615e-05,0.173020263993124,2.39164e-18,2.88293e-09,0.003667586,3.95861121660346e-11,0.003078159,0.000526057,0.058397741,9.63248084568153,10.4208500113566
25,0.435011468094237,0.243582316074417,0.0494198603674044,0.096578260778563,0.0546553221347007,0.0489641918690009,0.338433207315674,0.188926993939716,0.000455668498403473,-1.72084568816899e-15,-1.07315223515925e-05,0.173022994969122,4.80128e-19,1.63148e-09,0.003261235,1.28785870856518e-11,0.003078159,0.000526059,0.061658977,9.6324808456944,10.4257576852305
26,0.435011468094237,0.243575594520976,0.0510551232305414,0.099959741500693,0.0565657854278707,0.0506040876401254,0.335051726593544,0.187009809093105,0.00045103559041607,-3.88578058618805e-16,-6.7215534409748e-06,0.173024796974477,1.12635e-19,1.05867e-09,0.00297767,4.19042578414519e-12,0.003078159,0.00052606,0.064636646,9.63248084569859,10.4303638965443
27,0.435011468094237,0.243571384560899,0.0526687658043631,0.103307435905089,0.0584569279375657,0.0522223070509903,0.331704032189148,0.185114456623333,0.000446458753372794,-1.66533453693773e-16,-4.2099600765233e-06,0.173025986008471,2.06707e-20,5.55725e-10,0.002716795,1.36424205265939e-12,0.003078159,0.00052606,0.067353441,9.63248084569996,10.4346901241595
28,0.435011468094237,0.243568747705595,0.0542610705985186,0.106621681570273,0.0603289450575812,0.0538191366226066,0.328389786523963,0.183239802648013,0.000441933975912015,0,-2.63685530454971e-06,0.173026770579857,4.58164e-21,3.40346e-10,0.002303774,4.44089209850063e-13,0.003078159,0.000526061,0.069657215,9.6324808457004,10.4385835670988
29,0.435011468094237,0.243567096144589,0.0558323176629611,0.109902812701827,0.062182030205668,0.0553948590887122,0.325108655392409,0.181385065938921,0.00043745857424888,0,-1.65156100556674e-06,0.173027288270909,1.13994e-21,2.32758e-10,0.002086375,1.4388490399142e-13,0.003078159,0.000526061,0.071743591,9.63248084570055,10.4422395386023
30,0.435011468094237,0.243566061710219,0.0573827841436754,0.113151160166093,0.0640163748435157,0.0569497534458333,0.321860307928144,0.179549686866704,0.00043303069784205,0,-1.03443436968997e-06,0.173027629863823,2.85586e-22,1.59929e-10,0.002440216,4.61852778244065e-14,0.003078159,0.000526061,0.074183806,9.63248084570059,10.4462291856487
