"t","QL","QB","QC","QLim","QBim","QCim","QLm","QBm","QCm","QLnetchange","QBnetchange","QCnetchange","RL","RB","RC","Ex","AcRL","AcRB","AcRC","AcEx","Total13C_theoretical"
0,6.76722816950565,1.56873524014379,0,0,0,0,6.76722816950565,1.56873524014379,0,0,0,0,0,0,0,0,0,0,0,0,8.33596340964943
1,3.69441191877274,1.18340698833388,0.136092984487077,0.023421401816502,0.00398601152080804,0.0020243014793711,3.67099051695624,1.17942097681307,0.134068683007706,-3.07281625073291,-0.385328251809906,0.0668378307659737,0.002362631,9.84e-05,6.29e-07,3.33577714717116,0.002362631,9.84e-05,6.29e-07,3.33577714717116,8.35215069876486
2,2.17432997982082,0.921921507815622,0.0807525520116592,0.0460433995869532,0.0079290600010583,0.00403117012452599,2.12828658023386,0.913992447814564,0.0767213818871332,-1.52008193895193,-0.261485480518259,0.114670905108306,0.00098852,5.7e-05,0.000181996,1.78895821695134,0.003351151,0.000155375,0.000182625,5.1247353641225,8.3054285547706
3,1.42236536085711,0.744476287537311,0.070355978523779,0.0678932780500659,0.0118296085158936,0.0060207560631566,1.35447208280705,0.732646679021418,0.0643352224606224,-0.751964618963704,-0.177445220278311,0.148903060383517,0.000470775,3.79e-05,5.99e-05,0.959408066186834,0.003821926,0.000193324,0.000242557,6.08414343030934,8.32559886422754
4,1.05037831615668,0.624061164918603,0.0590543362948193,0.0889973906796056,0.0156881151492225,0.00799320813008853,0.961380925477074,0.60837304976938,0.0510611281647308,-0.371987044700431,-0.120415122618709,0.173401599749803,0.000325787,3.56e-05,0.000311911,0.514525061984383,0.004147712,0.000228895,0.000554468,6.59866849229372,8.33709338466382
5,0.866361198947553,0.542346922446832,0.0527727098455272,0.10938119146972,0.0195050330475178,0.00994867387841495,0.756980007477833,0.522841889399314,0.0428240359671122,-0.184017117209127,-0.0817142424717705,0.19093419231537,0.000162718,2.39e-05,0.00057905,0.275936849751772,0.00431043,0.000252807,0.001133517,6.87460534204549,8.3417829272854
6,0.775330342071266,0.486895270880786,0.0488807684568345,0.129069265635391,0.0232808104730338,0.0118872995905346,0.646261076435875,0.463614460407753,0.0369934688663,-0.0910308568762864,-0.0554516515660458,0.203481544525812,5.88e-05,1.19e-05,0.00080702,0.147983355285506,0.004369245,0.00026472,0.001940537,7.022588697331,8.34026958073989
7,0.730298569868175,0.4492655313349,0.0467879740544357,0.148085359265043,0.0270158908564507,0.0138092302890947,0.582213210603132,0.422249640478449,0.032978743765341,-0.0450317722030912,-0.0376297395458866,0.212461166159299,2.49e-05,6.97e-06,0.000532472,0.0793626275767663,0.004394108,0.000271689,0.002473009,7.10195132490776,8.33544220616527
8,0.708021942169207,0.423729821246901,0.0458791393691535,0.16645240796106,0.0307107128489518,0.0157146097478398,0.541569534208147,0.393019108397949,0.0301645296213136,-0.0222766276989681,-0.0255357100879988,0.218887510405338,1.29e-05,4.94e-06,0.0004362,0.0425617235380074,0.004407008,0.000276633,0.002909209,7.14451304844577,8.32973680123103
9,0.697001986316695,0.406401173810924,0.0457753459301119,0.184192564502772,0.0343657103737391,0.0176035805023668,0.512809421813924,0.372035463437185,0.0281717654277451,-0.0110199558525118,-0.0173286474359772,0.223486579503593,5.17e-06,2.75e-06,0.000219148,0.0228256090535019,0.004412177,0.00027938,0.003128356,7.16733865749927,8.32433707655701
