"t","QL","QB","QC","QLim","QBim","QCim","QLm","QBm","QCm","QLnetchange","QBnetchange","QCnetchange","RL","RB","RC","Ex","AcRL","AcRB","AcRC","AcEx","Total13C_theoretical"
0,8.13390494270925,2.7938578138383,0,0,0,0,8.13390494270925,2.7938578138383,0,0,0,0,0,0,0,0,0,0,0,0,10.9277627565476
1,2.17587245650734,1.85561506031694,0.00884459035901675,0.0054915167489229,0.00285331034660697,0.00262370786243708,2.17038093975842,1.85276174997033,0.00622088249657967,-5.95803248620191,-0.938242753521367,0.0653211543203455,0.002172291,0.000173949,0.000355549,6.69290378847443,0.002172291,0.000173949,0.000355549,6.69290378847443,10.7359376846577
2,0.832863611117799,1.26795856556857,0.00922369449844517,0.0109148112967185,0.00567784467229539,0.00521156803205566,0.82194879982108,1.26228072089628,0.00401212646638951,-1.34300884538954,-0.587656494748363,0.10842262059054,0.000703296,0.000150867,0.001555883,2.25639154055432,0.002875587,0.000324816,0.001911432,8.94929532902875,11.0644530352136
3,0.530134016579394,0.899887344635805,0.0105016374985012,0.0162707311813146,0.00847389318712984,0.00776407029550416,0.513863285398079,0.891413451448675,0.00273756720299707,-0.302729594538405,-0.368071220932769,0.136862662931649,0.00016859,9.51015e-05,0.002143734,0.760701624465693,0.003044177,0.000419917,0.004055165,9.70999695349444,11.1580392112081
4,0.461895294456305,0.66935058567945,0.0122166917322813,0.0215601134115077,0.0112417431743672,0.0102816977474812,0.440335181044798,0.658108842505083,0.0019349939848001,-0.0682387221230886,-0.230536758956354,0.155628521227365,2.73349e-05,4.35361e-05,0.002208278,0.25645680329159,0.003071512,0.000463453,0.006263444,9.96645375678603,11.1197147376541
5,0.446513503970667,0.524956799348061,0.0141950534679005,0.0267837845977677,0.0139816790199736,0.0127649268821676,0.419729719372899,0.510975120328087,0.00143012658573285,-0.0153817904856388,-0.14439378633139,0.168010972468159,5.13044e-06,2.33328e-05,0.001599477,0.0864597758690699,0.003076643,0.000486786,0.00786292,10.0529135326551,11.0500052384417
6,0.443046272006426,0.434517575575237,0.0163259360385588,0.0319425610814189,0.0166939822418444,0.0152142276834093,0.411103710925007,0.417823593333393,0.00111170835514943,-0.00346723196424031,-0.0904392237728232,0.176181400716871,1.22651e-06,1.53309e-05,0.001529655,0.0291483507061834,0.003077869,0.000502117,0.009392576,10.0820618833613,10.9889242289815
7,0.442264718161633,0.377872110389782,0.0185401567923904,0.0370372490622157,0.019378931518729,0.017630063713668,0.405227469099418,0.358493178871053,0.0009100930787224,-0.000781553844792893,-0.056645465185455,0.181572570564358,2.18831e-07,7.81572e-06,0.000837415,0.00982683959506403,0.003078088,0.000509933,0.010229991,10.0918887229563,10.9443837203002
8,0.442088546962645,0.342392938939388,0.0207945500121923,0.042068644724333,0.0220368027188636,0.020012892201756,0.400019902238312,0.320356136220524,0.00078165781043628,-0.000176171198988273,-0.0354791714503947,0.185129876428837,5.13491e-08,5.11497e-06,0.000277289,0.0033129413530304,0.00307814,0.000515048,0.01050728,10.0952016643094,10.9145781682236
9,0.442048835954172,0.320171008151366,0.023062243789709,0.0470375343607918,0.0246678689283161,0.0223631641293736,0.39501130159338,0.29550313922305,0.000699079660335346,-3.9711008473331e-05,-0.022221930788022,0.187477126723569,1.5039e-08,4.04779e-06,0.000518339,0.00111689829699912,0.003078155,0.000519096,0.011025619,10.0963185626064,10.8962235205016
10,0.442039884637481,0.30625258255797,0.0253265693784344,0.0519446944963391,0.0272724004790446,0.0246813243164627,0.390095190141142,0.278980182078925,0.000645245061971662,-8.95131669104154e-06,-0.0139184255933956,0.189025934769886,3.4606e-09,2.62906e-06,0.001510386,0.000376542073315278,0.003078158,0.000521725,0.012536004,10.0966951046797,10.8864500282536
11,0.44203786690805,0.297534952535321,0.0275772464375317,0.056790892008801,0.0298506649766724,0.026967811505395,0.385246974899249,0.267684287558649,0.000609434932136618,-2.01772943025924e-06,-0.00871763002264908,0.190047899223239,8.52225e-10,1.77666e-06,0.002065471,0.000126944354160941,0.003078159,0.000523501,0.014601476,10.0968220490339,10.8821752509148
12,0.442037412088699,0.292074775110666,0.0298079937376046,0.0615768842489286,0.0324029273279844,0.02922305844401,0.38046052783977,0.259671847782682,0.000584935293594604,-4.54819351569657e-07,-0.00546017742465449,0.190722231556674,1.60604e-10,9.34771e-07,0.001355984,4.27969945349105e-05,0.003078159,0.000524436,0.015957459,10.0968648460284,10.8803450809654
13,0.442037309567201,0.288654861965552,0.0320150326863199,0.0663034191587541,0.0349294497681443,0.0314474919675176,0.375733890408447,0.253725412197407,0.000567540718802321,-1.02521497513663e-07,-0.00341991314511497,0.191167182547312,3.79097e-11,6.23763e-07,0.000950593,1.44282331664414e-05,0.003078159,0.00052506,0.016908052,10.0968792742616,10.8800977494806
14,0.44203728645768,0.286512842574878,0.0341961500600515,0.0709712353884778,0.0374304918876388,0.0336415330792833,0.371066051069202,0.249082350687239,0.000554616980768182,-2.31095211300492e-08,-0.00214201939067393,0.191460778707919,8.83361e-12,3.97522e-07,0.001692791,4.86421802747827e-06,0.003078159,0.000525457,0.018600843,10.0968841384796,10.8818348765722
15,0.442037281248529,0.285171215792169,0.0363501109867467,0.0755810624119022,0.0399063106589497,0.0358055970305076,0.366456218836627,0.245264905133219,0.0005445139562391,-5.20915116597465e-09,-0.0013416267827086,0.191654504999885,2.00268e-12,2.45729e-07,0.00345261,1.63988318924169e-06,0.003078159,0.000525703,0.022053452,10.0968857783628,10.8861017003902
16,0.442037280074327,0.284330904807162,0.0384762913038262,0.0801336206404319,0.0423571604629562,0.0379400933988186,0.361903659433895,0.241973744344206,0.000536197905007585,-1.17420240197674e-09,-0.000840310985006809,0.191782333225301,3.84447e-13,1.32087e-07,0.005147274,5.52856976199223e-07,0.003078159,0.000525835,0.027200726,10.0968863312197,10.8925355274051
17,0.442037279809648,0.283804586638336,0.0405744473184697,0.0846296215356582,0.044783293115072,0.0400454261657893,0.35740765827399,0.239021293523264,0.000529021152680402,-2.64678612360569e-10,-0.000526318168825979,0.19186667931507,8.97313e-14,8.72597e-08,0.003477239,1.8638573706653e-07,0.003078159,0.000525922,0.030677966,10.0968865176055,10.8975848783719
18,0.442037279749986,0.283474933902886,0.0426445716277665,0.0890697677205437,0.0471849578911184,0.0421219937933969,0.352967512029443,0.236289976011768,0.000522577834369583,-5.96616644976677e-11,-0.00032965273545027,0.191922334181874,2.15042e-14,5.76205e-08,0.00423708,6.28365839361322e-08,0.003078159,0.00052598,0.034915045,10.0968865804421,10.9035625497227
19,0.442037279736538,0.283268460076926,0.0446868028409918,0.0934547530892266,0.0495624015529362,0.0441701892994367,0.348582526647311,0.23370605852399,0.000516613541555089,-1.34484090530407e-11,-0.000206473825960063,0.19195905745153,4.21247e-15,3.18006e-08,0.004528328,2.1184217047221e-08,0.003078159,0.000526012,0.039443373,10.0968866016263,10.9099266882807
20,0.442037279733507,0.283139137804661,0.0467013690624243,0.0977852629154611,0.0519158683737397,0.0461904003319061,0.344252016818046,0.231223269430922,0.000510968730518199,-3.03140845758776e-12,-0.000129322272264365,0.191983288908932,9.24679e-16,1.84948e-08,0.00421323,7.14187642358866e-09,0.003078159,0.00052603,0.043656603,10.0968866087682,10.9160251873688
21,0.442037279732823,0.283058138433308,0.0486885525192804,0.102061973959709,0.0542456001632147,0.048183009242372,0.339975305773114,0.228812538270094,0.000505543276908394,-6.83231249354321e-13,-8.09993713530854e-05,0.19199927777739,2.02953e-16,1.182e-08,0.003696119,2.40775399618087e-09,0.003078159,0.000526042,0.047352722,10.0968866111759,10.9216275048613
